"URL","Game","Studio"
"https://demo.firstlookgames.com/?xpid=4092&gid=114856","1001 Mystery Genie Fortunes","Play'n GO"
"https://demo.firstlookgames.com/?xpid=4092&gid=114783","Wild Chapo 2 Dream Drop","Relax Gaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=114741","Vault Royale","ESA Gaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=114623","Blackbeard's Booty","Jelly"
"https://demo.firstlookgames.com/?xpid=4092&gid=114595","Easter Plinko","Gaming Corps"
"https://demo.firstlookgames.com/?xpid=4092&gid=114553","Sparta Legend","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=114529","100 Golden Coins Dice Edition","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=110445","Super Lion Bonanza","Skywind"
"https://demo.firstlookgames.com/?xpid=4092&gid=109790","Purrrminator","Relax Gaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=108625","Spinnin\' Records Into the Beat","Play'n GO"
"https://demo.firstlookgames.com/?xpid=4092&gid=108424","Stone Gaze of Medusa 2","Stakelogic"
"https://demo.firstlookgames.com/?xpid=4092&gid=108189","Glyph of Gods","Relax Gaming"
"https://demo.firstlookgames.com/?xpid=4092&gid=108168","Knights The Siege","Playzia"
"https://demo.firstlookgames.com/?xpid=4092&gid=108118","Hoop Champion","Gaming Corps"
"https://demo.firstlookgames.com/?xpid=4092&gid=107681","20 Diamond Plus","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107680","40 Diamond Plus","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107679","Dice & Dinosaurs","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107678","Extra Crown Deluxe","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107677","Coin Gobbler - Christmas Edition","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107676","Caramel Hot - Christmas Edition","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107675","Rolling Dice - Christmas Edition","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107674","20 Golden Coins - Christmas Edition","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107673","Candy Palace - Christmas Edition","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107672","Caramel Dice - Christmas Edition","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107671","10 Bulky Fruits","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107670","Extra Crown Dice","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107669","Secrets of Cairo","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107668","5 Diamond Plus","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107666","10 Vampire Bites","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107665","40 Bulky Dice","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107663","Egypt Dice","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107662","Halloween Dice","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107661","Dragon Spirit","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107660","Brilliant Dice","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107659","Rolling Dice","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107658","Book of Dice","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107657","Royal Gardens","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107656","Neon Dice","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107655","5 Power Hot","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107654","Cocktail Dice","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107653","20 Extra Crown","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107651","20 Joker Dice","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107650","Extra Joker","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107648","Coin Gobbler","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107647","Shining Dice","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107646","7 & Crystals Dice","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107645","10 Glossy Hot","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107644","10 Power Hot","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107643","20 Wild Goals","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107642","5 Glossy Dice","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107641","Extra Crown Classic","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107640","Stoichkov #8","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107639","Diamond Plus Football Edition","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107638","Orient Story Deluxe","Amusnet"
"https://demo.firstlookgames.com/?xpid=4092&gid=107637","Virtual Monaco Roulette 72x","Amusnet"
